Chinese_Name,Start_Year,Retired_Year,region,major_area,Retrofitted,Resource,technology,Captive_industry_use,captive,cluster,R_ID,Zone,STOR,SOLAR,BIOPOWER,COAL,GEOTHERMAL,WIND,GAS,LHYDRO,SHYDRO,HYDRO,NUCLEAR,NONDISP,RENEW,OTHER,Commit,Existing_Cap_MW,num_units,Cap_Size,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Eff_Up,Eff_Down,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Existing_Cap_MWh,CHP,Dummy,Dummy_tech
"通辽盛发热电 (Unit 6 & 7), 通辽发电总厂热电厂六期扩建工程项目 (Unit 6 & 7), 内蒙公司通辽电投发电公司2×350兆瓦智慧热电联产机组项目 (Unit 8 & 9) 国家电投内蒙能源通辽发电总厂",1985,,IME,Tongliao,0,Tongliao power station Unit 2,cogen_conventional_steam_coal,,0,1,56,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,200,1,200,1.78,117,13.7,12.62,IME_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"通辽盛发热电 (Unit 6 & 7), 通辽发电总厂热电厂六期扩建工程项目 (Unit 6 & 7), 内蒙公司通辽电投发电公司2×350兆瓦智慧热电联产机组项目 (Unit 8 & 9) 国家电投内蒙能源通辽发电总厂",1989,,IME,Tongliao,0,Tongliao power station Unit 3,cogen_conventional_steam_coal,,0,1,57,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,200,1,200,1.78,117,13.7,12.62,IME_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"通辽盛发热电 (Unit 6 & 7), 通辽发电总厂热电厂六期扩建工程项目 (Unit 6 & 7), 内蒙公司通辽电投发电公司2×350兆瓦智慧热电联产机组项目 (Unit 8 & 9) 国家电投内蒙能源通辽发电总厂",1990,,IME,Tongliao,0,Tongliao power station Unit 4,cogen_conventional_steam_coal,,0,1,58,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,200,1,200,1.78,117,13.7,12.62,IME_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 国家电投吉电股份松花江热电,2014,,JL,Jilin,0,Songhuajiang power station Unit 1,cogen_conventional_steam_coal,,0,1,59,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,40,1,40,1.78,117,13.7,11.31,JL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"通辽盛发热电 (Unit 6 & 7), 通辽发电总厂热电厂六期扩建工程项目 (Unit 6 & 7), 内蒙公司通辽电投发电公司2×350兆瓦智慧热电联产机组项目 (Unit 8 & 9) 国家电投内蒙能源通辽发电总厂",2006,,IME,Tongliao,1,Tongliao power station Unit 5,cogen_conventional_steam_coal,,0,1,60,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,600,1,600,1.78,117,13.7,9.57,IME_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
"通辽盛发热电 (Unit 6 & 7), 通辽发电总厂热电厂六期扩建工程项目 (Unit 6 & 7), 内蒙公司通辽电投发电公司2×350兆瓦智慧热电联产机组项目 (Unit 8 & 9) 国家电投内蒙能源通辽发电总厂",2007,,IME,Tongliao,0,Tongliao power station Unit 6,cogen_conventional_steam_coal,,0,1,61,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,135,1,135,1.78,117,13.7,11.31,IME_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 五常市天宝热电厂,2018,,HL,Harbin,0,Wuchang Cogen power station,cogen_conventional_steam_coal,,0,1,62,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,50,1,50,1.78,117,13.7,10.44,HL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 华能伊春热电,2015,,HL,Yichun,1,Yichun cogen power station Unit 1,cogen_conventional_steam_coal,,0,1,63,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,350,1,350,1.78,117,13.7,9.25,HL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 华能伊春热电,2015,,HL,Yichun,1,Yichun cogen power station Unit 2,cogen_conventional_steam_coal,,0,1,64,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,350,1,350,1.78,117,13.7,9.25,HL_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
 华能国际仙人岛热电,2017,,LN,Yingkou,0,Yingkou Xianrendao power station Unit 1,cogen_conventional_steam_coal,,0,1,65,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,50,1,50,1.78,117,13.7,10.44,LN_Coal,0.4,1,1,0.6,0.6,8,8,0,1,,
