HL_to_IME,HL_to_JL,IME_to_JL,IME_to_LN,JL_to_LN,IME_to_SD,LN_to_JB,
820.5829002,1590.938571,-2640.542857,5781.26875,2240.17125,2583.68,1812.51,
858.4326023,1940.34125,-2688.2225,5781.26875,2240.17125,2715.77,2092.02,
858.4326023,1940.34125,-2688.2225,5781.26875,2240.17125,2699.84,2182.93,
858.4326023,1940.34125,-2688.2225,5817.437143,2254.185714,2960.74,2435.15,
820.5829002,2071.76,-2640.542857,5817.437143,2254.185714,3134.87,2724.36,
820.5829002,2071.76,-2640.542857,5781.26875,2240.17125,3225.2,2969.68,
733.3027854,1940.34125,-2402.895556,5475.277778,2121.602222,3286.99,3000,
733.3027854,1940.34125,-2402.895556,5475.277778,2121.602222,3232.71,2986.92,
733.3027854,1940.34125,-2402.895556,5781.26875,2240.17125,3260.41,2993.12,
733.3027854,2071.76,-2402.895556,5781.26875,2240.17125,3349.42,3000,
820.5829002,2071.76,-2640.542857,5781.26875,2240.17125,3310.57,3000,
820.5829002,2071.76,-2640.542857,5817.437143,2254.185714,3245.17,3000,
858.4326023,2071.76,-2688.2225,5817.437143,2254.185714,3173.47,3000,
858.4326023,2071.76,-2688.2225,5817.437143,2254.185714,3052.14,3000,
858.4326023,2071.76,-2688.2225,5817.437143,2254.185714,3021.47,3000,
858.4326023,2071.76,-2688.2225,5817.437143,2254.185714,2981.03,3000,
858.4326023,1940.34125,-2688.2225,5781.26875,2240.17125,2950.4,2988.42,
820.5829002,1940.34125,-2640.542857,5475.277778,2121.602222,2820.18,2801.52,
820.5829002,1590.938571,-2640.542857,5475.277778,2121.602222,2825.11,2449.16,
729.2426465,1589.695714,-2393.553333,5458.382222,2115.057778,2806.45,2052.003125,
729.2426465,1589.695714,-2393.553333,5458.382222,2115.057778,2734.71,1950.143125,
729.2426465,1589.695714,-2393.553333,5458.382222,2115.057778,2629.44,1836.633125,
729.2426465,1589.695714,-2393.553333,5458.382222,2115.057778,2573.42,1801.833125,
729.2426465,1589.695714,-2393.553333,5458.382222,2115.057778,2566.82,1750.473125,
817.5864641,1589.695714,-2623.541429,5758.04125,2231.17,2592.82,1794.093125,
856.0883775,1927.945,-2669.78,5758.04125,2231.17,2716.49,2070.153125,
856.0883775,1927.945,-2669.78,5758.04125,2231.17,2701.57,2159.933125,
856.0883775,1927.945,-2669.78,5796.014286,2245.884286,2945.82,2409.043125,
817.5864641,2055.098889,-2623.541429,5796.014286,2245.884286,3108.84,2694.683125,
817.5864641,2055.098889,-2623.541429,5758.04125,2231.17,3193.41,2936.983125,
729.2426465,1927.945,-2393.553333,5458.382222,2115.057778,3251.25,3000,
729.2426465,1927.945,-2393.553333,5458.382222,2115.057778,3200.44,2954.003125,
729.2426465,1927.945,-2393.553333,5758.04125,2231.17,3226.37,2960.133125,
729.2426465,2055.098889,-2393.553333,5758.04125,2231.17,3301.45,3000,
817.5864641,2055.098889,-2623.541429,5758.04125,2231.17,3273.33,3000,
817.5864641,2055.098889,-2623.541429,5796.014286,2245.884286,3212.1,3000,
856.0883775,2055.098889,-2669.78,5796.014286,2245.884286,3144.98,3000,
856.0883775,2055.098889,-2669.78,5796.014286,2245.884286,3031.39,3000,
856.0883775,2055.098889,-2669.78,5796.014286,2245.884286,3002.68,3000,
856.0883775,2055.098889,-2669.78,5796.014286,2245.884286,2964.82,3000,
856.0883775,1927.945,-2669.78,5758.04125,2231.17,2936.14,2955.483125,
817.5864641,1927.945,-2623.541429,5458.382222,2115.057778,2814.23,2770.893125,
817.5864641,1589.695714,-2623.541429,5458.382222,2115.057778,2818.85,2422.873125,
725.8391396,1569.915714,-2373.007778,5435.961111,2106.37,2787.08,2029.238889,
725.8391396,1569.915714,-2373.007778,5435.961111,2106.37,2714.91,1929.398889,
725.8391396,1569.915714,-2373.007778,5435.961111,2106.37,2609.02,1818.138889,
725.8391396,1569.915714,-2373.007778,5435.961111,2106.37,2552.66,1784.028889,
725.8391396,1569.915714,-2373.007778,5435.961111,2106.37,2527.52,1732.148889,
814.9825681,1569.915714,-2608.492857,5736.65625,2222.88625,2572.18,1776.438889,
853.9196598,1917.81375,-2657.27125,5736.65625,2222.88625,2696.58,2047.028889,
853.9196598,1917.81375,-2657.27125,5736.65625,2222.88625,2681.58,2135.028889,
853.9196598,1917.81375,-2657.27125,5777.282857,2238.627143,2927.28,2379.198889,
814.9825681,2047.6,-2608.492857,5777.282857,2238.627143,3091.27,2659.168889,
814.9825681,2047.6,-2608.492857,5736.65625,2222.88625,3176.34,2896.668889,
725.8391396,1917.81375,-2373.007778,5435.961111,2106.37,3234.53,3000,
725.8391396,1917.81375,-2373.007778,5435.961111,2106.37,3183.41,2913.358889,
725.8391396,1917.81375,-2373.007778,5736.65625,2222.88625,3209.5,2919.358889,
725.8391396,2047.6,-2373.007778,5736.65625,2222.88625,3262.67,2985.378889,
814.9825681,2047.6,-2608.492857,5736.65625,2222.88625,3256.74,3000,
814.9825681,2047.6,-2608.492857,5777.282857,2238.627143,3195.15,3000,
